Time;Name;Class;Sender;Static
20:11:31.789;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.789;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.809;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.810;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.811;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.811;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.832;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.834;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.835;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.835;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.856;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.858;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.858;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.858;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.879;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.880;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.880;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.880;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.898;init;yii\base\Event;yii\db\ActiveQuery;Нет
20:11:31.899;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.899;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.901;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.902;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.904;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.904;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.904;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.924;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.926;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.927;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.927;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.948;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.950;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.950;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.950;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.974;init;yii\base\Event;app\models\CityQuery;Нет
20:11:31.977;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:31.978;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.978;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:31.999;init;yii\base\Event;app\models\CityQuery;Нет
20:11:32.002;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:32.002;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.002;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.026;init;yii\base\Event;app\models\CityQuery;Нет
20:11:32.028;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:32.028;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.028;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.052;init;yii\base\Event;app\models\CityQuery;Нет
20:11:32.055;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:32.055;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.055;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.079;init;yii\base\Event;app\models\CityQuery;Нет
20:11:32.082;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:32.082;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.082;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.106;init;yii\base\Event;app\models\CityQuery;Нет
20:11:32.107;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:32.108;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.108;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.134;init;yii\base\Event;app\models\CityQuery;Нет
20:11:32.136;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:32.137;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.137;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.158;init;yii\base\Event;app\models\CityQuery;Нет
20:11:32.160;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:32.160;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.160;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.186;init;yii\base\Event;app\models\CityQuery;Нет
20:11:32.188;init;yii\base\Event;app\models\shop\ShopsQuery;Нет
20:11:32.189;init;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.189;afterFind;yii\base\Event;app\models\shop\Shop;Нет
20:11:32.233;init;yii\base\Event;app\models\shop\checkout\Order;Нет
20:11:32.241;init;yii\base\Event;app\models\Registry;Нет
20:11:32.241;init;yii\base\Event;app\models\Registry;Нет
20:11:32.250;init;yii\base\Event;app\models\Registry;Нет
20:11:32.267;init;yii\base\Event;app\models\shop\ProductQuerySphinx;Нет
20:11:32.274;init;yii\base\Event;app\models\shop\properties\ProductsPropertiesQuery;Нет
20:11:32.278;init;yii\base\Event;app\models\shop\properties\ProductsProperties;Нет
20:11:32.279;init;yii\base\Event;app\models\shop\properties\ProductsProperties;Нет
20:11:32.279;init;yii\base\Event;app\models\shop\properties\ProductsProperties;Нет
20:11:32.279;init;yii\base\Event;app\models\shop\properties\ProductsProperties;Нет
